date_date,customers_id,orders_id,net_sales
2022-08-30,1311453,3751676,38.7005
2022-08-30,1403193,3751818,82.5
2023-05-13,1356693,4464802,92.0233
2023-05-13,257913,4464586,117.624
2023-05-13,1151013,4462978,95.4904
2023-05-13,1442493,4463241,89.4834
2023-05-13,1593033,4464150,73.2977
2023-05-13,300033,4462263,89.498
2023-05-13,1593093,4464340,4.5898
2022-08-31,248073,3756410,91.3765
2022-08-31,89313,3755848,69.7342
2022-08-31,415293,3755009,71.7612
2022-08-31,1337073,3754927,119.9423
2022-08-31,996933,3756137,103.5909
2022-08-31,1357653,3756474,63.6505
2022-08-31,1404003,3755189,19.3841
2022-08-31,1404303,3756547,10.5167
2022-08-31,1216383,3755543,138.3357
2023-05-14,1593993,4468830,38.583
2023-05-14,474633,4468264,83.5488
2023-05-14,1593513,4466367,73.3597
2023-05-14,1593603,4466595,59.319
2023-05-14,1333263,4466252,93.4372
2023-05-14,1232733,4468369,97.4375
2023-05-14,1452273,4465445,35.2301
2023-05-14,1433553,4467289,145.3847
2022-09-01,186663,3757403,77.8557
2022-09-01,1404093,3758125,95.8272
2022-09-01,1404513,3758683,22.18
2022-09-01,1228443,3758627,61.6832
2022-09-01,1090473,3758658,73.3761
2022-09-01,1380573,3757714,16.4928
2023-05-15,415293,4469769,59.2456
2023-05-15,1332093,4471324,37.422
2023-05-15,231783,4470605,69.7631
2023-05-15,1478673,4469891,93.1735
2023-05-15,1594623,4471220,18.1315
2023-05-15,1594713,4471611,12.5332
2022-09-02,1304793,3760737,127.8421
2022-09-02,1349433,3760439,63.8088
2022-09-02,221733,3759350,199.6974
2023-05-16,1177893,4474212,92.769
2023-05-16,481893,4473178,66.3193
2023-05-16,1594803,4472057,59.9555
2023-05-16,485253,4474261,124.4267
2023-05-16,1499163,4473308,75.9585
2023-05-16,1595193,4473520,32.597
2023-05-16,1595253,4474139,53.2347
2023-05-16,1223523,4473006,92.7494
2022-09-03,1405593,3761500,7.7876
2022-09-03,1405893,3762410,70.5545
2022-09-03,1393893,3763387,153.8679
2022-09-03,1406283,3763956,38.9494
2023-05-17,1426383,4476416,80.2064
2023-05-17,1475553,4475381,41.6334
2023-05-17,1455903,4476500,59.8301
2023-05-17,1595793,4475849,30
2023-05-17,1496013,4476409,99.4925
2023-05-17,278733,4475054,69.5161
2022-09-04,1162143,3765915,110.8696
2022-09-04,1106103,3766923,48.4768
2022-09-04,1406463,3764898,32.3562
2022-09-04,1381413,3764225,60.9781
2022-09-04,1372173,3765448,62.7508
2022-09-04,247473,3765037,65.3463
2022-09-04,391113,3764275,43.6241
2022-09-04,1406523,3765187,53.1583
2022-09-04,1319373,3764194,83.9686
2022-09-04,1400553,3766133,51.7824
2022-09-04,300033,3764598,35.7986
2022-09-04,1209063,3765090,85.984
2023-05-18,1019493,4478003,82.8859
2023-05-18,1379103,4478049,29.2342
2023-05-18,1596483,4478413,10.1432
2023-05-18,1030023,4477242,69.4468
2022-09-05,1407633,3769938,19.4834
2022-09-05,1407573,3769643,73.8975
2022-09-05,1386543,3770010,59.9656
2022-09-06,1046973,3770441,17.134
2022-09-06,1082913,3770683,121.9052
2022-09-06,1267803,3772594,112.6967
2022-09-06,1046973,3770487,23.2336
2022-09-06,1408203,3772091,11.7
2022-09-07,366003,3773741,79.67
2022-09-07,221733,3775210,516.2565
2022-09-07,1405383,3773477,64.6943
2022-09-07,114033,3774160,95.8462
2022-09-07,948573,3775705,98.1575
2022-09-07,416013,3773914,38.2105
2022-09-07,98433,3775734,72.42
2022-09-07,1319343,3775390,62.5448
2022-09-07,473733,3773841,24.9752
2023-05-21,1478823,4484475,58.0362
2023-05-21,1495833,4483860,36.6846
2023-05-21,1460043,4484844,73.1489
2023-05-21,395523,4482818,76.1238
2023-05-21,1489683,4482446,52.4138
2023-05-21,1410633,4482988,73.6159
2022-09-08,1409583,3777469,86.2695
2022-09-08,1344573,3776427,108.7199
2022-09-08,1409553,3777347,63.3363
2022-09-08,278733,3777805,69.2046
2022-09-08,1313943,3775961,20.4657
2022-09-08,306753,3777540,67.9432
2022-09-08,1128333,3777095,42.3372
2023-05-22,1598733,4487361,45.308
2023-05-22,1207683,4486520,96.3831
