date_date,customer_id,order_id,products_id,net_sales,qty
2022-08-30,1403193,3751818,12103,82.5,1
2022-08-30,1311453,3751676,77610,8.4455,1
2022-08-30,1311453,3751676,11000,8.4334,2
2022-08-30,1311453,3751676,93082,2.5213,1
2022-08-30,1311453,3751676,84331,8.91,2
2022-08-30,1311453,3751676,5539,1.6635,1
2022-08-30,1311453,3751676,41695,2.4083,1
2022-08-30,1311453,3751676,5520,2.1812,1
2022-08-30,1311453,3751676,5527,2.4312,1
2022-08-30,1311453,3751676,5541,1.7061,1
2023-05-13,1593033,4464150,10537,8.1744,2
2023-05-13,1593033,4464150,76498,3.4395,1
2023-05-13,1593033,4464150,80206,1.6599,1
2023-05-13,1593033,4464150,95416,1.4218,1
2023-05-13,1593033,4464150,10523,7.5456,1
2023-05-13,1593033,4464150,24203,2.9289,1
2023-05-13,1593033,4464150,76363,8.0772,3
2023-05-13,1593033,4464150,90727,11.3924,1
2023-05-13,1593033,4464150,5550,4.4033,1
2023-05-13,1593033,4464150,9591,1.7289,1
2023-05-13,1593033,4464150,12000,2.3157,1
2023-05-13,1593033,4464150,5551,5.109,1
2023-05-13,1593033,4464150,96069,2.64,1
2023-05-13,1593033,4464150,91354,2.1668,1
2023-05-13,1593033,4464150,78875,6.2464,1
2023-05-13,1593033,4464150,93044,1.6113,1
2023-05-13,1593033,4464150,16651,2.4366,2
2023-05-13,1151013,4462978,82141,1.4166,1
2023-05-13,1151013,4462978,16517,1.8926,1
2023-05-13,1151013,4462978,13198,1.8076,1
2023-05-13,1151013,4462978,13197,1.9207,1
2023-05-13,1151013,4462978,84004,4.25,1
2023-05-13,1151013,4462978,9927,1.8076,1
2023-05-13,1151013,4462978,86064,3.0419,1
2023-05-13,1151013,4462978,20225,2.9502,1
2023-05-13,1151013,4462978,23002,7.0479,1
2023-05-13,1151013,4462978,82147,1.4166,1
2023-05-13,1151013,4462978,96198,1.4028,1
2023-05-13,1151013,4462978,73244,1.8576,2
2023-05-13,1151013,4462978,10517,13.0588,3
2023-05-13,1151013,4462978,3480,16.0332,1
2023-05-13,1151013,4462978,29650,3.1166,2
2023-05-13,1151013,4462978,94804,3.5524,2
2023-05-13,1151013,4462978,79631,2.6418,1
2023-05-13,1151013,4462978,86082,2.5572,1
2023-05-13,1151013,4462978,82139,1.7708,1
2023-05-13,1151013,4462978,70595,6.545,1
2023-05-13,1151013,4462978,70570,6.545,1
2023-05-13,1151013,4462978,13201,1.8076,1
2023-05-13,1151013,4462978,82144,3.5416,2
2023-05-13,1151013,4462978,13203,1.5817,1
2023-05-13,1151013,4462978,84896,1.9266,1
2023-05-13,1442493,4463241,9526,11.8371,1
2023-05-13,1442493,4463241,79807,5.5958,1
2023-05-13,1442493,4463241,20051,3.4096,2
2023-05-13,1442493,4463241,79199,5.5958,1
2023-05-13,1442493,4463241,20049,1.9838,1
2023-05-13,1442493,4463241,79819,4.9243,1
2023-05-13,1442493,4463241,83953,11.0655,1
2023-05-13,1442493,4463241,79821,9.5128,2
2023-05-13,1442493,4463241,9469,1.8638,1
2023-05-13,1442493,4463241,84030,9.3649,1
2023-05-13,1442493,4463241,20056,2.1468,1
2023-05-13,1442493,4463241,72117,2.9466,1
2023-05-13,1442493,4463241,9480,3.4999,1
2023-05-13,1442493,4463241,102017,5.5302,2
2023-05-13,1442493,4463241,17923,2.3375,1
2023-05-13,1442493,4463241,72688,7.869,1
2023-05-13,1356693,4464802,29628,2.1267,1
2023-05-13,1356693,4464802,68119,56.6596,1
2023-05-13,1356693,4464802,88144,6.66,1
2023-05-13,1356693,4464802,76660,3.2271,1
2023-05-13,1356693,4464802,95876,9.2666,1
2023-05-13,1356693,4464802,70514,14.0833,1
2023-05-13,300033,4462263,75678,5.6338,1
2023-05-13,300033,4462263,2148,7.4488,2
2023-05-13,300033,4462263,84359,6.3679,1
2023-05-13,300033,4462263,44800,32.8996,8
2023-05-13,300033,4462263,3439,7.5735,1
2023-05-13,300033,4462263,10866,25.5,1
2023-05-13,300033,4462263,71729,4.0744,3
2023-05-13,257913,4464586,80809,3.9616,2
2023-05-13,257913,4464586,73442,3.2858,1
2023-05-13,257913,4464586,4375,5.5089,3
2023-05-13,257913,4464586,9490,2.1179,1
2023-05-13,257913,4464586,87050,5.1159,3
2023-05-13,257913,4464586,80184,1.8934,1
2023-05-13,257913,4464586,8698,13.7547,6
2023-05-13,257913,4464586,72822,4.2262,2
2023-05-13,257913,4464586,101586,6.0829,1
2023-05-13,257913,4464586,76044,3.4741,1
2023-05-13,257913,4464586,44723,3.2872,1
2023-05-13,257913,4464586,10538,5.3602,2
2023-05-13,257913,4464586,7358,5.9279,2
2023-05-13,257913,4464586,5526,3.557,1
2023-05-13,257913,4464586,71375,2.7651,1
2023-05-13,257913,4464586,80754,3.1341,1
2023-05-13,257913,4464586,79610,2.1815,5
2023-05-13,257913,4464586,78517,8.856,6
2023-05-13,257913,4464586,20051,1.5983,1
2023-05-13,257913,4464586,89662,2.2962,2
2023-05-13,257913,4464586,72831,4.3222,2
2023-05-13,257913,4464586,28590,5.1566,1
2023-05-13,257913,4464586,83777,5.5674,3
2023-05-13,257913,4464586,19851,5.1725,1
2023-05-13,257913,4464586,81172,2.9778,2
2023-05-13,257913,4464586,83745,6.0426,3
2023-05-13,1593093,4464340,80964,0.9265,1
2023-05-13,1593093,4464340,45480,3.6633,1
2022-08-31,415293,3755009,4210,8.4882,1
2022-08-31,415293,3755009,69324,2.3801,1
2022-08-31,415293,3755009,81568,6.675,1
2022-08-31,415293,3755009,952,5.562,2
2022-08-31,415293,3755009,5869,5.2185,2
2022-08-31,415293,3755009,88319,3.8389,1
2022-08-31,415293,3755009,88965,3.9156,1
2022-08-31,415293,3755009,86534,2.9475,1
2022-08-31,415293,3755009,71768,3.0114,1
2022-08-31,415293,3755009,24203,2.636,1
2022-08-31,415293,3755009,76035,3.0711,1
2022-08-31,415293,3755009,44329,5.3834,1
2022-08-31,415293,3755009,9759,2.8365,1
2022-08-31,415293,3755009,46160,1.0152,1
2022-08-31,415293,3755009,5519,3.9668,1
2022-08-31,415293,3755009,86531,0.8475,1
2022-08-31,415293,3755009,80809,2.4675,1
2022-08-31,415293,3755009,7358,4.125,1
2022-08-31,415293,3755009,12639,3.375,1
2022-08-31,1404303,3756547,86547,10.5167,1
2022-08-31,1216383,3755543,92676,2.9266,1
2022-08-31,1216383,3755543,10866,25.2666,1
2022-08-31,1216383,3755543,45480,2.9925,1
2022-08-31,1216383,3755543,2203,3.375,1
2022-08-31,1216383,3755543,1960,3.375,1
2022-08-31,1216383,3755543,11823,6.8162,1
2022-08-31,1216383,3755543,80099,5.1791,1
2022-08-31,1216383,3755543,50371,3.6375,1
2022-08-31,1216383,3755543,12630,4.4934,1
2022-08-31,1216383,3755543,80712,3.9334,1
2022-08-31,1216383,3755543,11852,3.4666,1
2022-08-31,1216383,3755543,81590,5.0758,1
2022-08-31,1216383,3755543,92421,1.8,1
2022-08-31,1216383,3755543,17942,4.66,1
2022-08-31,1216383,3755543,80296,2.4654,1
2022-08-31,1216383,3755543,11786,2.9498,1
2022-08-31,1216383,3755543,58041,3.8925,1
2022-08-31,1216383,3755543,84979,5.835,2
2022-08-31,1216383,3755543,72877,31.3592,2
2022-08-31,1216383,3755543,82534,2.8199,1
2022-08-31,1216383,3755543,72005,1.875,1
2022-08-31,1216383,3755543,79812,2.5266,1
2022-08-31,1216383,3755543,92705,7.6146,1
2022-08-31,1230213,3755840,42990,2.2095,2
2022-08-31,1230213,3755840,46272,4.3509,3
2022-08-31,1230213,3755840,70346,1.5166,1
2022-08-31,1230213,3755840,9656,2.5166,1
2022-08-31,1230213,3755840,82928,1.2003,1
2022-08-31,1230213,3755840,44324,8.5223,1
2022-08-31,1230213,3755840,71647,2.4644,2
2022-08-31,1230213,3755840,71056,3.4848,3
2022-08-31,1230213,3755840,70345,1.3198,1
2022-08-31,1230213,3755840,71058,3.3012,3
2022-08-31,1230213,3755840,17559,17.7725,1
2022-08-31,1230213,3755840,71060,2.2008,2
2022-08-31,1230213,3755840,43944,27.78,2
2022-08-31,1230213,3755840,46273,3.0332,2
2022-08-31,1230213,3755840,45139,1.2322,1
2022-08-31,1230213,3755840,91768,4.5687,1
2022-08-31,1230213,3755840,27845,7.125,1
2022-08-31,1230213,3755840,75114,4.965,2
2022-08-31,1230213,3755840,4264,2.7299,1
2022-08-31,1230213,3755840,71055,2.2008,2
2022-08-31,89313,3755848,44798,33.75,4
2022-08-31,89313,3755848,77185,7.5833,1
2022-08-31,89313,3755848,9526,13.9334,1
2022-08-31,89313,3755848,77190,12,1
2022-08-31,89313,3755848,9462,2.4675,1
2022-08-31,996933,3756137,74258,1.8666,1
2022-08-31,996933,3756137,76837,3.7868,1
2022-08-31,996933,3756137,11425,3.8334,1
2022-08-31,996933,3756137,76645,1.8666,1
2022-08-31,996933,3756137,76651,1.7334,1
2022-08-31,996933,3756137,12631,6.2175,1
2022-08-31,996933,3756137,11414,3.7334,1
2022-08-31,996933,3756137,81528,3.4668,2
2022-08-31,996933,3756137,81532,2.4666,1
2022-08-31,996933,3756137,89151,3.9334,1
2022-08-31,996933,3756137,29640,3.585,2
2022-08-31,996933,3756137,11401,10.4645,1
2022-08-31,996933,3756137,29538,1.95,1
2022-08-31,996933,3756137,78367,2.5666,1
2022-08-31,996933,3756137,83388,2.6343,1
2022-08-31,996933,3756137,12639,10.125,3
2022-08-31,996933,3756137,41122,3.4194,1
2022-08-31,996933,3756137,9472,7.65,3
2022-08-31,996933,3756137,81534,1.7334,1
2022-08-31,996933,3756137,81531,2.4666,1
2022-08-31,996933,3756137,12637,5.5666,1
2022-08-31,996933,3756137,29610,2.1,1
2022-08-31,996933,3756137,11422,4.3425,1
2022-08-31,996933,3756137,28431,2.3266,1
2022-08-31,996933,3756137,76643,1.8666,1
2022-08-31,996933,3756137,92942,2.5661,1
2022-08-31,996933,3756137,29575,1.7334,1
2022-08-31,996933,3756137,46774,1.7232,1
2022-08-31,996933,3756137,83098,1.8666,1
2022-08-31,248073,3756410,24152,4.1375,1
2022-08-31,248073,3756410,7719,4.3296,2
2022-08-31,248073,3756410,79499,2.5134,1
2022-08-31,248073,3756410,82289,1.3,1
2022-08-31,248073,3756410,18672,23.5014,1
2022-08-31,248073,3756410,21503,8.3033,1
2022-08-31,248073,3756410,3014,3.362,1
2022-08-31,248073,3756410,81045,19.3062,2
2022-08-31,248073,3756410,13292,7.4382,3
2022-08-31,248073,3756410,15652,8.3868,2
2022-08-31,248073,3756410,47060,3.2531,1
2022-08-31,248073,3756410,84392,2.7725,1
2022-08-31,248073,3756410,69123,2.7725,1
2022-08-31,1337073,3754927,26652,10.75,1
2022-08-31,1337073,3754927,71729,9.5795,5
2022-08-31,1337073,3754927,79612,1.7175,1
2022-08-31,1337073,3754927,73290,22.7773,1
2022-08-31,1337073,3754927,81124,16.35,2
2022-08-31,1337073,3754927,64185,28.275,2
2022-08-31,1337073,3754927,42730,16.4166,2
2022-08-31,1337073,3754927,45642,3.1271,1
2022-08-31,1337073,3754927,2047,5.4243,1
2022-08-31,1337073,3754927,86520,5.525,1
2022-08-31,1404003,3755189,79478,6.4166,2
2022-08-31,1404003,3755189,88221,12.9675,1
2022-08-31,1357653,3756474,45271,5.4167,1
2022-08-31,1357653,3756474,93127,11.25,1
2022-08-31,1357653,3756474,83102,3.7425,1
2022-08-31,1357653,3756474,76597,4.1583,1
2022-08-31,1357653,3756474,12648,7.4925,1
2022-08-31,1357653,3756474,21847,9.8334,2
2022-08-31,1357653,3756474,89130,5.0625,1
2022-08-31,1357653,3756474,17644,3.15,1
2022-08-31,1357653,3756474,46759,1.1625,1
2022-08-31,1357653,3756474,29628,2.1,1
2022-08-31,1357653,3756474,7264,2.6564,1
2022-08-31,1357653,3756474,10517,5.6209,1
2022-08-31,1357653,3756474,85623,2.0048,1
2022-08-31,420663,3754215,47647,2.4996,1
2022-08-31,420663,3754215,17559,15.1066,1
2022-08-31,420663,3754215,76632,5.5794,6
2022-08-31,420663,3754215,1587,2.6925,1
2022-08-31,420663,3754215,47211,4.4608,2
2022-08-31,420663,3754215,13369,5.9625,1
2022-08-31,420663,3754215,5643,2.5318,2
2022-08-31,420663,3754215,5520,2.1812,1
2022-08-31,420663,3754215,80932,6.5424,4
2022-08-31,420663,3754215,87455,2.6394,2
2022-08-31,420663,3754215,5636,2.3986,2
2022-08-31,420663,3754215,77409,1.41,1
2022-08-31,420663,3754215,7922,5.2063,1
2022-08-31,420663,3754215,76018,8.0925,1
2022-08-31,420663,3754215,17572,15.1953,1
2023-05-14,1452273,4465445,11797,2.4948,1
2023-05-14,1452273,4465445,87789,3.5,1
2023-05-14,1452273,4465445,87758,3.5,1
2023-05-14,1452273,4465445,11771,3.4776,1
2023-05-14,1452273,4465445,89281,4.6256,1
2023-05-14,1452273,4465445,1567,3.325,1
2023-05-14,1452273,4465445,87767,2.8,1
2023-05-14,1452273,4465445,89241,8.4455,1
